Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,37622,-98.4159,94,,,,,,
,,,,,37737,-105.87657,115,,,,,,
,,,,,37859,-62.5185,122,,,,,,
,,,,,37950,-48.108215,91,,,,,,
,,,,,38000,,,20.64994239807129,5.999345779418945,6.7902960777282715,73.38129425048828,0.772,0.001
,,,,,38032,-114.03501,82,,,,,,
,,,,,38174,-53.48153,142,,,,,,
,,,,,38312,-95.454414,138,,,,,,
,,,,,38390,-42.933506,78,,,,,,
,,,,,38480,-71.09807,90,,,,,,
,,,,,38566,-106.16358,86,,,,,,
,,,,,38649,-83.16227,83,,,,,,
,,,,,38775,-49.45678,126,,,,,,
,,,,,38863,-88.657005,88,,,,,,
,,,,,38978,-96.99339,115,,,,,,
,,,,,39000,,,5.216716289520264,-9.529886245727539,-9.60519790649414,35.15256881713867,0.766,0.001
,,,,,39053,-86.05258,75,,,,,,
,,,,,39174,-36.565063,121,,,,,,
,,,,,39238,-71.10976,64,,,,,,
,,,,,39333,-86.20827,95,,,,,,
,,,,,39450,-62.864883,117,,,,,,
,,,,,39570,-27.973694,120,,,,,,
,,,,,39684,-51.497265,114,,,,,,
,,,,,39771,-46.261436,87,,,,,,
,,,,,39884,-104.55438,113,,,,,,
-152.71088,90.05412,39.815323,-265.7885,755.6,40000,,,6.062752723693848,1.9879848957061768,1.625662088394165,59.48258972167969,0.76,0.001
,,,,,40017,-44.691563,133,,,,,,
,,,,,40080,-55.27143,63,,,,,,
,,,,,40198,-103.475586,118,,,,,,
,,,,,40317,-130.08992,119,,,,,,
,,,,,40399,-87.61804,82,,,,,,
,,,,,40548,48.823486,149,,,,,,
,,,,,40657,-87.211464,109,,,,,,
,,,,,40750,-79.36894,93,,,,,,
,,,,,40868,-71.3358,118,,,,,,
,,,,,41000,,,1.7185537815093994,12.136518478393555,12.389997482299805,26.0433349609375,0.754,0.001
,,,,,41010,-77.58888,142,,,,,,
,,,,,41110,-114.900734,100,,,,,,
,,,,,41186,-93.99754,76,,,,,,
,,,,,41315,-36.559,129,,,,,,
,,,,,41449,-85.71942,134,,,,,,
,,,,,41573,-102.77246,124,,,,,,
,,,,,41683,-49.141827,110,,,,,,
,,,,,41790,-51.367847,107,,,,,,
,,,,,41879,-92.04912,89,,,,,,
,,,,,42000,,,9.036114692687988,1.4968550205230713,0.9513144493103027,62.37763977050781,0.748,0.001
,,,,,42024,-75.47294,145,,,,,,
,,,,,42138,-50.901115,114,,,,,,
,,,,,42296,-33.004242,158,,,,,,
,,,,,42459,-107.87071,163,,,,,,
,,,,,42588,-42.195496,129,,,,,,
,,,,,42678,4.9802246,90,,,,,,
,,,,,42794,-71.21991,116,,,,,,
,,,,,42866,-83.32874,72,,,,,,
,,,,,42995,-61.43563,129,,,,,,
,,,,,43000,,,1.7474392652511597,11.155543327331543,11.075510025024414,18.377758026123047,0.742,0.001
,,,,,43080,-102.56909,85,,,,,,
,,,,,43197,-71.54892,117,,,,,,
,,,,,43291,-65.43456,94,,,,,,
,,,,,43357,-57.641605,66,,,,,,
,,,,,43472,-54.20685,115,,,,,,
,,,,,43585,-81.12885,113,,,,,,
,,,,,43694,-93.52558,109,,,,,,
,,,,,43775,-43.40216,81,,,,,,
,,,,,43893,-62.819405,118,,,,,,
,,,,,43990,-38.634956,97,,,,,,
,,,,,44000,,,2.165597677230835,17.39457130432129,16.494720458984375,80.98106384277344,0.736,0.001
,,,,,44103,-55.94493,113,,,,,,
,,,,,44204,-83.978745,101,,,,,,
,,,,,44329,-97.46667,125,,,,,,
,,,,,44428,-91.31477,99,,,,,,
,,,,,44551,-173.68222,123,,,,,,
,,,,,44661,-58.059055,110,,,,,,
,,,,,44764,-38.05999,103,,,,,,
,,,,,44877,-156.4021,113,,,,,,
,,,,,44960,-103.80833,83,,,,,,
,,,,,45000,,,8.40157699584961,6.220578193664551,6.172868251800537,64.15888977050781,0.73,0.001
,,,,,45099,-88.24828,139,,,,,,
,,,,,45176,-72.27647,77,,,,,,
,,,,,45263,-94.489624,87,,,,,,
,,,,,45359,-118.637024,96,,,,,,
,,,,,45451,-104.840454,92,,,,,,
,,,,,45543,-37.057854,92,,,,,,
,,,,,45663,-18.253098,120,,,,,,
,,,,,45788,-74.40049,125,,,,,,
,,,,,45909,-69.02685,121,,,,,,
,,,,,46000,,,4.364459037780762,5.246851921081543,4.426262855529785,82.9980239868164,0.724,0.001
,,,,,46041,-63.671448,132,,,,,,
,,,,,46129,-105.58537,88,,,,,,
,,,,,46196,-47.251663,67,,,,,,
,,,,,46297,-82.26214,101,,,,,,
,,,,,46426,-111.56127,129,,,,,,
,,,,,46512,-77.64981,86,,,,,,
,,,,,46605,-97.36538,93,,,,,,
,,,,,46687,-84.43396,82,,,,,,
,,,,,46815,-90.76614,128,,,,,,
,,,,,46940,-71.3602,125,,,,,,
