Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,12128,204.90297,92,,,,,,,,
,,,,,12225,216.99298,97,,,,,,,,
,,,,,12332,226.23506,107,,,,,,,,
,,,,,12423,195.47464,91,,,,,,,,
,,,,,12524,238.52235,101,,,,,,,,
,,,,,12632,210.3915,108,,,,,,,,
,,,,,12731,201.38634,99,,,,,,,,
,,,,,12833,231.46169,102,,,,,,,,
,,,,,12930,206.89513,97,,,,,,,,
,,,,,13000,,,-23.28169822692871,-1.3095042705535889,4.260570526123047,21.930465698242188,21.88787841796875,0.0003,0.0003,0.1
,,,,,13022,190.60658,92,,,,,,,,
,,,,,13117,208.11191,95,,,,,,,,
,,,,,13208,196.02527,91,,,,,,,,
,,,,,13288,148.3343,80,,,,,,,,
,,,,,13376,189.11703,88,,,,,,,,
,,,,,13461,190.06317,85,,,,,,,,
,,,,,13487,45.00487,26,,,,,,,,
,,,,,13575,191.25052,88,,,,,,,,
,,,,,13663,194.31636,88,,,,,,,,
,,,,,13754,204.84334,91,,,,,,,,
,,,,,13841,193.58055,87,,,,,,,,
,,,,,13924,180.17569,83,,,,,,,,
,,,,,14000,,,-33.10406494140625,-1.082393765449524,5.507931709289551,31.28497314453125,31.457077026367188,0.0003,0.0003,0.1
,,,,,14016,185.40546,92,,,,,,,,
,,,,,14103,191.97923,87,,,,,,,,
,,,,,14188,188.8948,85,,,,,,,,
,,,,,14275,193.9789,87,,,,,,,,
,,,,,14366,206.74571,91,,,,,,,,
,,,,,14456,202.41493,90,,,,,,,,
,,,,,14546,205.93962,90,,,,,,,,
,,,,,14640,210.87001,94,,,,,,,,
,,,,,14725,188.20186,85,,,,,,,,
,,,,,14817,208.34348,92,,,,,,,,
,,,,,14910,212.62512,93,,,,,,,,
,,,,,15000,201.34023,90,,,,,,,,
211.73526,8.197762,223.9681,195.2762,93.6,15000,,,-42.60623550415039,-1.0399856567382812,3.5319080352783203,40.425323486328125,40.407344818115234,0.0003,0.0003,0.1
,,,,,15088,198.54216,88,,,,,,,,
,,,,,15188,226.14651,100,,,,,,,,
,,,,,15286,225.86752,98,,,,,,,,
,,,,,15374,198.02101,88,,,,,,,,
,,,,,15465,191.64038,91,,,,,,,,
,,,,,15557,203.75206,92,,,,,,,,
,,,,,15607,85.85406,50,,,,,,,,
,,,,,15697,197.68007,90,,,,,,,,
,,,,,15784,200.36461,87,,,,,,,,
,,,,,15867,181.50412,83,,,,,,,,
,,,,,15960,223.20767,93,,,,,,,,
,,,,,16000,,,-49.20166778564453,-1.1077828407287598,13.280984878540039,47.16698455810547,47.40128707885742,0.0003,0.0003,0.1
,,,,,16060,194.99246,100,,,,,,,,
,,,,,16129,116.922615,69,,,,,,,,
,,,,,16204,150.19803,75,,,,,,,,
,,,,,16313,209.97928,109,,,,,,,,
,,,,,16425,227.94566,112,,,,,,,,
,,,,,16529,211.9495,104,,,,,,,,
,,,,,16635,199.40988,106,,,,,,,,
,,,,,16705,122.5926,70,,,,,,,,
,,,,,16800,162.5284,95,,,,,,,,
,,,,,16899,218.78911,99,,,,,,,,
,,,,,16987,180.89684,88,,,,,,,,
,,,,,17000,,,-58.47245407104492,-0.6987535953521729,20.825441360473633,56.562252044677734,56.52659606933594,0.0003,0.0003,0.1
,,,,,17085,221.97928,98,,,,,,,,
,,,,,17182,223.28065,97,,,,,,,,
,,,,,17277,202.50232,95,,,,,,,,
,,,,,17372,195.90796,95,,,,,,,,
,,,,,17465,181.36378,93,,,,,,,,
,,,,,17557,193.76329,92,,,,,,,,
,,,,,17654,199.38498,97,,,,,,,,
,,,,,17745,200.68983,91,,,,,,,,
,,,,,17842,191.63472,97,,,,,,,,
,,,,,17940,207.36351,98,,,,,,,,
,,,,,18000,,,-64.92691802978516,-1.128589153289795,5.428732872009277,62.133079528808594,62.604068756103516,0.0003,0.0003,0.1
,,,,,18042,209.84341,102,,,,,,,,
,,,,,18132,192.88441,90,,,,,,,,
,,,,,18240,244.94324,108,,,,,,,,
,,,,,18327,185.39215,87,,,,,,,,
,,,,,18362,62.73944,35,,,,,,,,
,,,,,18464,214.81863,102,,,,,,,,
,,,,,18559,203.5367,95,,,,,,,,
,,,,,18663,218.48979,104,,,,,,,,
,,,,,18757,208.22285,94,,,,,,,,
,,,,,18853,196.69824,96,,,,,,,,
,,,,,18945,203.97275,92,,,,,,,,
,,,,,19000,,,-71.75252532958984,-1.1347596645355225,11.292988777160645,69.40132141113281,69.58576202392578,0.0003,0.0003,0.1
,,,,,19025,154.84482,80,,,,,,,,
,,,,,19127,219.87965,102,,,,,,,,
,,,,,19223,186.3385,96,,,,,,,,
,,,,,19253,50.940697,30,,,,,,,,
,,,,,19338,182.9378,85,,,,,,,,
,,,,,19434,192.29361,96,,,,,,,,
,,,,,19527,181.34435,93,,,,,,,,
