Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,9186,9.116222,11,,,,,,,,
,,,,,9215,40.079857,29,,,,,,,,
,,,,,9244,33.269497,29,,,,,,,,
,,,,,9259,13.321779,15,,,,,,,,
,,,,,9273,8.326616,14,,,,,,,,
,,,,,9290,14.994975,17,,,,,,,,
,,,,,9322,27.275702,32,,,,,,,,
,,,,,9379,53.38545,57,,,,,,,,
,,,,,9391,9.072997,12,,,,,,,,
,,,,,9402,9.642094,11,,,,,,,,
,,,,,9417,11.328888,15,,,,,,,,
,,,,,9442,13.644526,25,,,,,,,,
,,,,,9464,18.864761,22,,,,,,,,
,,,,,9486,17.188585,22,,,,,,,,
,,,,,9501,8.165678,15,,,,,,,,
,,,,,9530,20.763556,29,,,,,,,,
,,,,,9552,16.394302,22,,,,,,,,
,,,,,9594,62.125187,42,,,,,,,,
,,,,,9623,25.454342,29,,,,,,,,
,,,,,9649,13.818902,26,,,,,,,,
,,,,,9675,23.013662,26,,,,,,,,
,,,,,9701,24.92676,26,,,,,,,,
,,,,,9717,14.256056,16,,,,,,,,
,,,,,9749,31.699064,32,,,,,,,,
,,,,,9801,48.946053,52,,,,,,,,
,,,,,9815,12.841692,14,,,,,,,,
,,,,,9830,13.624285,15,,,,,,,,
,,,,,9844,12.904471,14,,,,,,,,
,,,,,9856,10.028666,12,,,,,,,,
,,,,,9874,12.194675,18,,,,,,,,
,,,,,9898,15.0186,24,,,,,,,,
,,,,,9916,10.312879,18,,,,,,,,
,,,,,9934,10.337148,18,,,,,,,,
,,,,,9945,9.136014,11,,,,,,,,
,,,,,9961,11.992221,16,,,,,,,,
14.369138,2.9668705,19.980505,8.257728,16.9,10000,,,-0.35145166516304016,1.9461455345153809,1.0021603107452393,0.00026213994715362787,0.9222896099090576,0.0003,0.0003,0.1
,,,,,10038,149.2927,77,,,,,,,,
,,,,,10051,13.731639,13,,,,,,,,
,,,,,10068,13.813998,17,,,,,,,,
,,,,,10102,31.89325,34,,,,,,,,
,,,,,10132,34.13863,30,,,,,,,,
,,,,,10198,93.294525,66,,,,,,,,
,,,,,10285,123.08051,87,,,,,,,,
,,,,,10333,85.070526,48,,,,,,,,
,,,,,10404,94.575714,71,,,,,,,,
,,,,,10452,80.322174,48,,,,,,,,
,,,,,10516,99.82254,64,,,,,,,,
,,,,,10564,84.53335,48,,,,,,,,
,,,,,10606,67.647514,42,,,,,,,,
,,,,,10648,68.62191,42,,,,,,,,
,,,,,10724,160.421,76,,,,,,,,
,,,,,10766,68.78564,42,,,,,,,,
,,,,,10821,100.94403,55,,,,,,,,
,,,,,10859,62.92984,38,,,,,,,,
,,,,,10895,60.134983,36,,,,,,,,
,,,,,10957,118.00779,62,,,,,,,,
,,,,,10988,51.23699,31,,,,,,,,
,,,,,11000,,,-5.94415283203125,0.1183278039097786,0.441792368888855,5.599427223205566,5.602689743041992,0.0003,0.0003,0.1
,,,,,11070,177.20337,82,,,,,,,,
,,,,,11126,103.51829,56,,,,,,,,
,,,,,11160,56.02719,34,,,,,,,,
,,,,,11198,63.093487,38,,,,,,,,
,,,,,11234,59.127506,36,,,,,,,,
,,,,,11270,59.419216,36,,,,,,,,
,,,,,11306,60.171944,36,,,,,,,,
,,,,,11343,61.802418,37,,,,,,,,
,,,,,11411,138.56078,68,,,,,,,,
,,,,,11443,53.409775,32,,,,,,,,
,,,,,11525,180.6828,82,,,,,,,,
,,,,,11576,90.177315,51,,,,,,,,
,,,,,11667,208.07654,91,,,,,,,,
,,,,,11758,206.49655,91,,,,,,,,
,,,,,11838,174.84293,80,,,,,,,,
,,,,,11916,168.9832,78,,,,,,,,
,,,,,11999,180.91956,83,,,,,,,,
,,,,,12000,,,-13.001476287841797,-0.6607650518417358,1.6362980604171753,12.159978866577148,12.285652160644531,0.0003,0.0003,0.1
,,,,,12082,184.6402,83,,,,,,,,
,,,,,12164,179.75487,82,,,,,,,,
,,,,,12247,179.44011,83,,,,,,,,
,,,,,12335,193.65128,88,,,,,,,,
,,,,,12418,182.50005,83,,,,,,,,
,,,,,12503,183.92229,85,,,,,,,,
,,,,,12592,194.65454,89,,,,,,,,
,,,,,12684,204.59645,92,,,,,,,,
,,,,,12774,186.1212,90,,,,,,,,
,,,,,12867,203.40945,93,,,,,,,,
,,,,,12959,200.36697,92,,,,,,,,
,,,,,13000,,,-22.124839782714844,-1.4910056591033936,3.060093402862549,20.26858901977539,20.10765266418457,0.0003,0.0003,0.1
,,,,,13051,203.88255,92,,,,,,,,
,,,,,13147,198.94948,96,,,,,,,,
,,,,,13244,203.46262,97,,,,,,,,
,,,,,13347,204.7933,103,,,,,,,,
,,,,,13446,231.73796,99,,,,,,,,
,,,,,13544,215.93587,98,,,,,,,,
,,,,,13655,256.16272,111,,,,,,,,
,,,,,13750,221.34668,95,,,,,,,,
,,,,,13861,240.82831,111,,,,,,,,
,,,,,13974,273.18692,113,,,,,,,,
,,,,,14000,,,-30.851451873779297,-0.9850685000419617,6.771241188049316,29.05950164794922,29.564590454101562,0.0003,0.0003,0.1
,,,,,14085,234.55453,111,,,,,,,,
,,,,,14187,219.88094,102,,,,,,,,
,,,,,14285,222.80054,98,,,,,,,,
,,,,,14381,204.94547,96,,,,,,,,
,,,,,14475,205.60297,94,,,,,,,,
,,,,,14569,209.29248,94,,,,,,,,
,,,,,14661,193.64723,92,,,,,,,,
,,,,,14760,210.61833,99,,,,,,,,
,,,,,14850,205.66466,90,,,,,,,,
,,,,,14945,205.25851,95,,,,,,,,
208.2638,17.200813,246.99777,192.3815,94.9,15000,,,-38.59100341796875,-0.8457798361778259,2.990194320678711,36.910282135009766,37.07503890991211,0.0003,0.0003,0.1
,,,,,15041,220.97273,96,,,,,,,,
,,,,,15127,185.59753,86,,,,,,,,
,,,,,15215,192.65865,88,,,,,,,,
,,,,,15316,231.7727,101,,,,,,,,
,,,,,15410,205.87064,94,,,,,,,,
,,,,,15497,178.08559,87,,,,,,,,
,,,,,15591,190.25276,94,,,,,,,,
,,,,,15686,213.31837,95,,,,,,,,
,,,,,15776,177.69261,90,,,,,,,,
,,,,,15872,190.47964,96,,,,,,,,
,,,,,15957,185.06995,85,,,,,,,,
,,,,,16000,,,-46.725337982177734,-1.118865728378296,4.39804744720459,44.93206024169922,44.70191955566406,0.0003,0.0003,0.1
,,,,,16048,201.0758,91,,,,,,,,
,,,,,16145,202.5309,97,,,,,,,,
,,,,,16232,193.63246,87,,,,,,,,
,,,,,16325,192.65976,93,,,,,,,,
,,,,,16420,209.19295,95,,,,,,,,
